users in this chat 
👑мʀ👑_👑poorya👑‌‌‌‌‌‌‌‌‌‌‌‌‌‌_Fuck_Off‌ [172871742] = 3
Ψ▓_ৡৢşสјјสðৡৢ_▓Ψ_(Rip) [181342559] = 3
Poolad [152633064] = 3
♚αรнкαท♔_َُِحُـَُِـَُِـَُِـَُِـَُِلُـَُِـَُِـَُِـَُِـَُِاَُِلُـَُِـَُِـَُِـَُِـَُِم_َُِکُـَُِـَُِـَُِـَُِـَِن__هــہ [150701477] = 3
دانی [138518589] = 3
Hossein_H.A [113324436] = 3
▓▓▓_ریپورتم_▓▓▓ [84888532] = 2
.:;[Y];:. [184084381] = 2
↯مُحَــنّـا↯ [196020309] = 2
amir_hossyn [53849901] = 2
Paradux [178210388] = 2
🔞ًًًًًٌٌٍٍٍٍَََََُُُُِِِِِّّّّّّْاًًًًٍََََََُُُِِِصِِِِِِِِِِِِلا_ًًًٌٌٍٍٍََُِِِّّّّّّْْْاِِِِِِِِِِِِِِسمًًًًًًٌٌٌٌٍٍٍٍٍٍََُُُُُُِِِّّّّْْْ_نًًًًًًًٍٍٍٍَََََُُُُُُِِِِِِِِِِِِِِِِِّّّّّّّّّّّّّّّّدارًًًََََُُِّّّّّمٍٍٍٍٍٍٍّّّّّّّ🔞ٍㄔُُُُُُُُُُُُُُُُُُُِِ_._.___._____________________🔞🔞🔞🔞🔞🔞🔞🔞🔞🔞🔞🔞🔞🔞🔞🔞🔞🔞🔞_____________________رِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِؤًًًًّّّّّّٕٕٕٕٕٔٔٔٔٔٔٔٔٔٔٔٔٔ٘٘٘٘٘الِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِـِِـِـِـِهـــ______________________⛔️⛔️⛔️⛔️⛔️⛔️⛔️ [192761068] = 2
